window_start,window_open,btc_final,actual_outcome,correct_at_30s,btc_at_30s,poly_price_30s,correct_at_60s,btc_at_60s,poly_price_60s,ev_at_60s,correct_at_90s,btc_at_90s,poly_price_90s,correct_at_120s,btc_at_120s,poly_price_120s,ev_at_120s,correct_at_180s,btc_at_180s,poly_price_180s,ev_at_180s
1774494600,70850.04,70968.66,Up,True,70860.55,0.58,True,70873.22,0.66,True,True,70873.24,0.64,True,70873.22,0.64,True,True,70879.22,0.71,True
1774494900,70968.66,70911.48,Down,True,70944.92,0.65,True,70962.93,0.56,True,True,70938.4,0.65,True,70932.66,0.72,True,True,70907.91,0.89,False
1774495200,70911.48,70759.78,Down,True,70910.58,0.54,True,70900.58,0.6599999999999999,True,True,70878.01,0.73,True,70884.71,0.69,True,True,70783.02,0.95,False
1774495500,70759.77,70713.13,Down,False,70774.65,0.61,False,70797.29,0.71,False,False,70761.3,0.48,True,70715.37,0.74,True,True,70690.71,0.8200000000000001,True
1774495800,70713.14,70803.37,Up,True,70729.2,0.58,True,70753.56,0.71,False,True,70758.1,0.76,True,70769.46,0.78,False,True,70770.25,0.86,False
1774496100,70804.24,70870.1,Up,True,70815.7,0.59,True,70831.27,0.71,False,True,70834.67,0.74,True,70828.47,0.7,True,True,70845.04,0.88,False
1774496400,70870.11,70852.49,Down,False,70876.44,0.57,True,70866.79,0.51,True,False,70899.65,0.72,False,70887.91,0.59,True,False,70897.54,0.8,True
1774496700,70850.75,70838.34,Down,False,70865.89,0.53,False,70882.09,0.63,True,False,70877.15,0.61,False,70881.58,0.66,True,False,70853.23,0.37,True
1774497000,70838.35,70899.04,Up,False,70835.09,0.5,False,70818.21,0.6599999999999999,True,False,70818.2,0.6599999999999999,False,70818.21,0.7,True,False,70813.36,0.75,True
1774497300,70899.04,70908.77,Up,True,70907.17,0.54,False,70894.98,0.54,True,True,70903.78,0.53,True,70907.32,0.56,True,False,70887.27,0.5700000000000001,True
1774497600,70921.47,70833.6,Down,True,70897.3,0.5700000000000001,True,70905.89,0.48,True,True,70874.0,0.77,True,70844.71,0.9299999999999999,False,True,70872.19,0.76,True
1774497900,70833.6,70825.93,Down,True,70832.21,0.54,False,70840.89,0.51,True,True,70826.07,0.54,False,70836.91,0.52,True,False,70850.55,0.74,True
1774498200,70825.93,70755.06,Down,False,70826.04,0.48,True,70813.02,0.63,True,True,70795.41,0.71,True,70790.04,0.75,True,True,70749.4,0.9,False
1774498500,70755.07,70737.17,Down,True,70737.01,0.6,True,70754.5,0.43000000000000005,True,False,70765.53,0.66,False,70771.93,0.65,True,True,70728.19,0.79,True
1774498800,70739.55,70808.0,Up,True,70759.92,0.67,True,70768.11,0.72,False,True,70799.82,0.88,True,70792.41,0.84,False,True,70818.0,0.9,False
1774499100,70808.0,70868.66,Up,True,70821.97,0.55,True,70845.04,0.74,False,True,70824.9,0.6,True,70842.44,0.74,True,True,70850.45,0.8,True
1774499400,70868.65,70836.04,Down,False,70887.22,0.61,False,70891.59,0.62,True,False,70874.31,0.49,False,70868.99,0.49,True,True,70831.62,0.81,True
1774499700,70836.04,70848.47,Up,True,70836.39,0.58,True,70841.46,0.55,True,True,70841.46,0.58,True,70845.04,0.63,True,True,70863.66,0.79,True
1774500000,70848.47,70839.99,Down,True,70847.96,0.52,True,70842.01,0.6,True,False,70851.93,0.48,True,70845.25,0.44999999999999996,True,False,70853.3,0.58,True
1774500300,70840.0,70872.39,Up,True,70845.05,0.62,True,70881.2,0.78,False,True,70867.7,0.71,True,70856.44,0.65,True,True,70871.74,0.81,True
1774500600,70872.38,70823.33,Down,True,70870.13,0.56,True,70850.49,0.65,True,True,70845.05,0.63,True,70851.36,0.5800000000000001,True,True,70843.05,0.61,True
1774500900,70823.33,70772.0,Down,True,70776.86,0.83,True,70773.44,0.8,False,True,70784.17,0.76,True,70776.75,0.84,False,True,70803.85,0.7,True
1774501200,70772.01,70769.92,Down,True,70750.0,0.62,False,70783.61,0.64,True,False,70780.54,0.47,False,70776.3,0.54,True,False,70773.98,0.54,True
1774501500,70769.92,70495.9,Down,True,70719.73,0.78,True,70665.33,0.89,False,True,70656.95,0.95,True,70534.82,0.98,False,True,70522.63,0.98,False
1774501800,70555.83,70559.07,Up,True,70576.79,0.57,True,70577.11,0.51,True,False,70546.01,0.61,True,70584.11,0.54,True,False,70517.21,0.81,True
1774502100,70559.07,70578.99,Up,False,70555.41,0.51,True,70561.59,0.45,True,False,70552.77,0.5800000000000001,True,70564.6,0.44,True,True,70574.21,0.4,True
1774502400,70569.21,70606.51,Up,True,70626.73,0.76,True,70627.98,0.77,False,True,70604.79,0.68,True,70581.91,0.55,True,True,70608.5,0.84,False
1774502700,70620.88,70577.2,Down,True,70583.05,0.6699999999999999,True,70561.07,0.65,True,True,70518.57,0.9299999999999999,True,70534.94,0.88,False,True,70570.25,0.83,False
1774503000,70577.19,70579.93,Up,False,70565.81,0.5800000000000001,False,70563.2,0.61,True,False,70543.3,0.72,False,70543.27,0.71,True,False,70519.4,0.89,False
1774503300,70579.94,70551.64,Down,False,70601.1,0.63,False,70612.0,0.75,False,False,70599.0,0.66,False,70618.08,0.69,True,True,70568.86,0.52,True
1774503600,70551.64,70310.9,Down,True,70526.01,0.6599999999999999,True,70508.78,0.74,False,True,70496.81,0.79,True,70537.56,0.64,True,True,70510.01,0.75,True
1774503900,70310.89,70353.76,Up,False,70253.25,0.6799999999999999,False,70232.28,0.76,False,False,70298.79,0.5900000000000001,True,70323.84,0.55,True,True,70372.0,0.79,True
1774504200,70353.77,70115.33,Down,True,70323.84,0.56,True,70297.05,0.69,True,True,70291.82,0.77,True,70159.73,0.97,False,True,70156.92,0.99,False
1774504500,70115.31,70016.97,Down,True,69976.01,0.83,True,69987.65,0.8200000000000001,False,True,70000.28,0.85,True,70004.03,0.87,False,True,70021.76,0.9299999999999999,False
1774504800,70016.98,69967.87,Down,True,69929.99,0.75,True,69982.69,0.5800000000000001,True,True,69932.25,0.79,True,69862.54,0.91,False,True,69999.0,0.65,True
1774505100,69967.87,70099.99,Up,False,69959.01,0.5900000000000001,False,69950.57,0.65,True,False,69934.5,0.7,True,69998.9,0.59,True,True,70058.1,0.89,False
1774505400,70100.0,70063.22,Down,True,70053.01,0.64,True,70001.92,0.81,False,True,70054.98,0.6599999999999999,True,70053.76,0.73,True,True,69999.96,0.95,False
1774505700,70067.47,70134.19,Up,True,70080.77,0.59,True,70073.76,0.5,True,False,70047.2,0.61,True,70070.1,0.49,True,True,70090.99,0.62,True
1774506000,70134.18,69974.05,Down,True,70125.37,0.51,True,70126.69,0.52,True,True,70040.97,0.88,True,70072.65,0.79,False,True,70022.71,0.97,False
1774506300,69970.83,70059.5,Up,False,69953.08,0.6,False,69906.88,0.78,False,False,69938.06,0.6799999999999999,False,69940.91,0.62,True,True,70019.93,0.77,True
1774506600,70059.5,70034.28,Down,False,70067.57,0.52,False,70076.81,0.48,True,True,70053.92,0.55,False,70081.79,0.6,True,False,70070.4,0.51,True
1774506900,70034.29,70028.0,Down,True,70021.44,0.5900000000000001,True,70032.76,0.5,True,True,70027.94,0.62,True,69996.31,0.78,False,True,70018.71,0.6599999999999999,True
1774507200,70027.99,70000.33,Down,False,70053.32,0.64,False,70031.16,0.53,True,True,70022.06,0.49,True,70013.8,0.52,True,True,69989.01,0.6699999999999999,True
1774507500,70000.32,70096.0,Up,True,70001.43,0.51,True,70012.63,0.56,True,True,70012.63,0.58,True,70031.51,0.72,True,True,70017.32,0.75,True
1774507800,70104.64,70113.01,Up,False,70097.94,0.44999999999999996,False,70094.95,0.52,True,False,70090.58,0.49,False,70099.75,0.4,True,True,70111.1,0.65,True
1774508100,70113.0,70097.19,Down,False,70150.91,0.78,False,70145.57,0.74,False,False,70117.14,0.5,True,70102.49,0.53,True,True,70111.81,0.49,True
1774508400,70097.19,70150.73,Up,False,70085.62,0.63,False,70082.22,0.61,True,False,70045.0,0.8200000000000001,False,70031.55,0.86,False,False,70075.96,0.69,True
1774508700,70150.73,70093.78,Down,True,70069.65,0.8200000000000001,True,70073.86,0.84,False,True,70042.43,0.89,True,70029.03,0.94,False,True,70027.21,0.98,False
1774509000,70093.79,70048.49,Down,True,70088.62,0.5700000000000001,True,70052.64,0.78,False,True,70058.93,0.72,True,70054.01,0.77,False,True,70076.75,0.7,True
1774509300,70048.5,70020.01,Down,False,70054.48,0.54,False,70059.39,0.55,True,False,70062.31,0.58,True,70030.0,0.7,True,False,70057.0,0.68,True
1774509600,70020.0,70059.4,Up,False,69991.13,0.63,False,69981.56,0.7,True,False,69945.52,0.83,False,69995.0,0.6,True,True,70081.07,0.83,False
1774509900,70059.4,69969.87,Down,True,70021.61,0.6599999999999999,True,70037.84,0.55,True,True,70025.42,0.63,True,70025.41,0.69,True,True,70005.75,0.8200000000000001,True
