window_start,btc_open,poly_open,btc_at_30s,poly_at_30s,signal_direction,outcome,won
2026-04-11 11:45 UTC,72878.5,0.505,72888.44,0.545,lower,higher,False
2026-04-11 11:50 UTC,72883.33,0.525,72891.61,0.555,higher,higher,True
2026-04-11 11:55 UTC,72932.38,0.515,72945.65,0.655,lower,lower,True
2026-04-11 12:00 UTC,72934.01,0.525,72934.09,0.575,lower,higher,False
2026-04-11 12:05 UTC,72953.65,0.515,72953.65,0.645,higher,lower,False
2026-04-11 15:10 UTC,72721.27,0.505,72718.6,0.515,higher,higher,True
2026-04-11 15:15 UTC,72730.13,0.505,72729.04,0.505,lower,higher,False
2026-04-11 15:20 UTC,72834.56,0.505,72808.6,0.555,lower,lower,True
2026-04-11 15:25 UTC,72800.92,0.535,72799.53,0.635,lower,lower,True
2026-04-11 15:30 UTC,72820.62,0.495,72803.29,0.575,higher,higher,True
2026-04-11 15:35 UTC,72814.84,0.51,72819.27,0.535,higher,higher,True
2026-04-11 15:40 UTC,72800.98,0.505,72800.98,0.655,lower,lower,True
2026-04-11 15:45 UTC,72803.41,0.505,72807.24,0.545,lower,lower,True
2026-04-11 15:50 UTC,72820.84,0.535,72820.84,0.655,lower,higher,False
2026-04-11 15:55 UTC,72865.0,0.525,72865.46,0.535,lower,higher,False
2026-04-11 16:10 UTC,72875.92,0.525,72875.92,0.525,higher,higher,True
2026-04-11 16:15 UTC,72906.07,0.525,72905.0,0.515,lower,higher,False
2026-04-11 16:40 UTC,72956.53,0.535,72956.53,0.695,higher,higher,True
2026-04-11 16:45 UTC,73135.22,0.535,73135.22,0.545,lower,higher,False
2026-04-11 16:50 UTC,73191.36,0.58,73196.99,0.595,higher,lower,False
2026-04-11 16:55 UTC,73133.22,0.505,73133.22,0.515,higher,lower,False
2026-04-11 17:00 UTC,73091.45,0.505,73084.28,0.535,higher,lower,False
2026-04-11 17:15 UTC,73057.21,0.515,73057.21,0.655,lower,lower,True
2026-04-11 17:20 UTC,73007.01,0.505,73017.01,0.625,lower,higher,False
2026-04-11 17:25 UTC,73089.51,0.535,73126.78,0.625,lower,lower,True
2026-04-11 17:30 UTC,73091.34,0.515,73128.0,0.695,higher,higher,True
2026-04-11 17:35 UTC,73173.88,0.53,73199.06,0.67,lower,lower,True
2026-04-11 17:40 UTC,73162.78,0.505,73167.14,0.535,higher,higher,True
2026-04-11 17:45 UTC,73185.02,0.545,73187.56,0.545,higher,lower,False
2026-04-11 17:50 UTC,73126.95,0.525,73129.43,0.505,higher,lower,False
2026-04-11 17:55 UTC,73112.28,0.535,73113.22,0.505,lower,higher,False
2026-04-11 18:00 UTC,73112.44,0.595,73107.11,0.735,lower,lower,True
2026-04-11 18:05 UTC,73074.75,0.53,73073.64,0.555,lower,higher,False
2026-04-11 18:10 UTC,73112.89,0.525,73112.89,0.505,higher,higher,True
2026-04-11 18:15 UTC,73131.04,0.49,73153.18,0.675,higher,higher,True
2026-04-11 18:20 UTC,73199.98,0.555,73199.98,0.595,higher,higher,True
2026-04-11 18:25 UTC,73219.55,0.555,73228.79,0.675,higher,higher,True
2026-04-11 18:30 UTC,73220.1,0.505,73231.06,0.595,higher,higher,True
2026-04-11 18:35 UTC,73290.09,0.505,73290.09,0.645,higher,higher,True
2026-04-11 18:40 UTC,73622.84,0.535,73622.84,0.615,lower,lower,True
2026-04-11 18:45 UTC,73498.22,0.515,73510.39,0.625,higher,higher,True
2026-04-11 18:50 UTC,73632.55,0.555,73580.35,0.655,lower,lower,True
2026-04-11 18:55 UTC,73545.67,0.545,73542.69,0.545,lower,higher,False
2026-04-11 19:50 UTC,73679.24,0.52,73679.24,0.635,higher,higher,True
2026-04-11 20:00 UTC,73708.25,0.585,73717.7,0.665,lower,lower,True
2026-04-11 22:35 UTC,73359.34,0.605,73381.66,0.665,higher,lower,False
2026-04-11 22:40 UTC,73293.46,0.555,73319.36,0.625,higher,higher,True
2026-04-11 22:45 UTC,73363.76,0.515,73363.76,0.615,higher,higher,True
2026-04-11 22:50 UTC,73344.52,0.515,73337.68,0.805,lower,lower,True
2026-04-11 22:55 UTC,73303.78,0.595,73303.78,0.885,higher,higher,True
2026-04-11 23:00 UTC,73412.28,0.545,73405.43,0.795,lower,lower,True
2026-04-11 23:05 UTC,73310.4,0.615,73138.0,0.535,higher,lower,False
2026-04-11 23:10 UTC,73002.13,0.605,73011.25,0.665,lower,higher,False
2026-04-11 23:15 UTC,73071.96,0.575,73079.84,0.535,lower,higher,False
2026-04-11 23:20 UTC,73155.47,0.545,73155.47,0.755,higher,higher,True
2026-04-11 23:25 UTC,73230.0,0.545,73230.0,0.525,lower,lower,True
2026-04-11 23:30 UTC,73174.16,0.505,73174.16,0.775,lower,lower,True
2026-04-11 23:35 UTC,73137.05,0.585,73137.05,0.645,lower,higher,False
2026-04-11 23:40 UTC,73195.94,0.625,73155.31,0.565,lower,lower,True
2026-04-11 23:45 UTC,73121.54,0.605,73096.66,0.595,lower,lower,True
2026-04-11 23:50 UTC,73139.1,0.595,73139.1,0.555,lower,lower,True
2026-04-11 23:55 UTC,73054.63,0.515,73058.25,0.745,higher,higher,True
2026-04-12 00:00 UTC,73069.34,0.515,73069.0,0.735,lower,lower,True
2026-04-12 00:05 UTC,72963.08,0.505,72959.8,0.735,higher,higher,True
2026-04-12 00:10 UTC,73033.16,0.505,73032.36,0.525,lower,higher,False
2026-04-12 00:15 UTC,73013.01,0.615,73028.46,0.715,lower,lower,True
2026-04-12 00:20 UTC,72973.3,0.605,72995.33,0.835,higher,higher,True
2026-04-12 00:25 UTC,73134.83,0.535,73115.17,0.505,higher,lower,False
2026-04-12 00:30 UTC,73098.64,0.625,73098.64,0.605,lower,higher,False
2026-04-12 00:35 UTC,73114.49,0.515,73111.5,0.515,higher,lower,False
2026-04-12 00:40 UTC,73093.61,0.555,73057.47,0.645,lower,higher,False
2026-04-12 00:45 UTC,73066.82,0.545,73066.82,0.705,higher,lower,False
2026-04-12 00:50 UTC,73059.01,0.655,73059.01,0.645,higher,higher,True
2026-04-12 00:55 UTC,73079.47,0.555,73079.47,0.515,higher,higher,True
2026-04-12 01:00 UTC,73108.73,0.505,73109.3,0.605,higher,lower,False
2026-04-12 01:05 UTC,73108.31,0.585,73075.37,0.765,lower,higher,False
2026-04-12 01:10 UTC,73068.4,0.505,73111.93,0.705,higher,higher,True
2026-04-12 01:15 UTC,73090.5,0.535,73090.5,0.575,higher,lower,False
2026-04-12 01:20 UTC,73076.27,0.5,73089.64,0.595,lower,lower,True
2026-04-12 01:25 UTC,73080.48,0.505,73063.45,0.625,lower,lower,True
2026-04-12 01:30 UTC,73045.27,0.505,73045.27,0.635,lower,lower,True
2026-04-12 01:35 UTC,72736.92,0.585,72663.04,0.915,lower,lower,True
2026-04-12 01:40 UTC,72293.32,0.525,72293.32,0.695,lower,lower,True
2026-04-12 01:45 UTC,71736.84,0.63,71671.85,0.765,lower,lower,True
